group_id,fallacy_type,style,text,predicted_label,confidence,top3_json,correct
ah_01,ad hominem,formal,The proposed climate legislation must be rejected on the grounds that Senator Harrison's documented history of personal financial misconduct renders his judgment on matters of public policy entirely untrustworthy.,ad hominem,0.9652,"[[""ad hominem"", 0.9652], [""appeal to emotion"", 0.0076], [""circular reasoning"", 0.0048]]",True
ah_01,ad hominem,informal,"Nobody should take Harrison's climate bill seriously—the guy got caught cheating on his taxes. If he can't be honest about his own money, why would we trust anything he says?",ad hominem,0.9683,"[[""ad hominem"", 0.9683], [""circular reasoning"", 0.0059], [""fallacy of relevance"", 0.005]]",True
ah_01,ad hominem,nonnative,Harrison he was dishonest about money before so his climate law idea cannot be trusted. Bad person make bad idea. We must not accept his proposal because his character is problem.,ad hominem,0.9643,"[[""ad hominem"", 0.9643], [""faulty generalization"", 0.0072], [""intentional"", 0.0071]]",True
ah_02,ad hominem,formal,"Dr. Peterson's research on nutrition cannot be taken seriously given that she is known to be overweight, which calls into question her personal commitment to the very principles she advocates.",ad hominem,0.9801,"[[""ad hominem"", 0.9801], [""circular reasoning"", 0.0027], [""faulty generalization"", 0.0025]]",True
ah_02,ad hominem,informal,You're gonna take diet advice from Dr. Peterson? Have you seen her? She's not even following her own research lol. Her work is meaningless.,ad hominem,0.9814,"[[""ad hominem"", 0.9814], [""circular reasoning"", 0.0025], [""fallacy of credibility"", 0.0023]]",True
ah_02,ad hominem,nonnative,Dr. Peterson do research on food but she herself is not thin person. How can she give advice when she not follow? Her research not credible because she not practice what she teach.,ad hominem,0.975,"[[""ad hominem"", 0.975], [""circular reasoning"", 0.0042], [""intentional"", 0.0038]]",True
ah_03,ad hominem,formal,"The arguments presented by Mr. Chen against tax reform are entirely without merit, as he has a well-documented background of association with organizations that have historically benefited from the current tax structure.",ad hominem,0.9439,"[[""ad hominem"", 0.9439], [""fallacy of credibility"", 0.02], [""circular reasoning"", 0.0065]]",True
ah_03,ad hominem,informal,Of course Mr. Chen is against tax reform—he used to work for groups that love the current system! His whole argument is biased garbage. Don't listen to him.,ad hominem,0.9826,"[[""ad hominem"", 0.9826], [""circular reasoning"", 0.002], [""faulty generalization"", 0.002]]",True
ah_03,ad hominem,nonnative,Mr. Chen before work for organization who benefit from old tax. So his opinion about tax reform is bias. Person who benefit cannot speak fairly. His argument should be ignored.,ad hominem,0.9765,"[[""ad hominem"", 0.9765], [""faulty generalization"", 0.0038], [""fallacy of credibility"", 0.0036]]",True
ah_04,ad hominem,formal,"The thesis submitted by this student, which challenges the department's established methodology, should be dismissed outright, as the student has a documented history of poor academic performance.",ad hominem,0.9475,"[[""ad hominem"", 0.9475], [""appeal to emotion"", 0.0105], [""no_fallacy"", 0.0079]]",True
